seq1,seq2,seq3,class
MSR LSL VLI LVA GLF ATA LAG PAT FAD KNP IRQ VVF PDE LEN GIL QVV GQT RSA LSF ARF AIR HRK RYD SVE EIK QRF EIF LDN LKM IRS HNR KGL SYK LGI NEF TDL TWD EFR KHK LGA SQN CSA TTK GNL KLT NVV LPE TKD WRK DGI VSP VKA QGK CGS CWT FST TGA LEA AYA QAF GKG ISL SEQ QLV DCA GAF NNF GCN GGL PSQ AFE YIK FNG GLD TEE AYP YTG KNG ICK FSQ ANI GVK VIS SVN ITL GAE YEL KYA VAL VRP VSV AFE VVK GFK QYK SGV YAS TEC GDT PMD VNH AVL AVG YGV ENG TPY WLI KNS WGA DWG EDG YFK MEM GKN MCG VAT CAS YPI VA,SRL SLV LIL VAG LFA TAL AGP ATF ADK NPI RQV VFP DEL ENG ILQ VVG QTR SAL SFA RFA IRH RKR YDS VEE IKQ RFE IFL DNL KMI RSH NRK GLS YKL GIN EFT DLT WDE FRK HKL GAS QNC SAT TKG NLK LTN VVL PET KDW RKD GIV SPV KAQ GKC GSC WTF STT GAL EAA YAQ AFG KGI SLS EQQ LVD CAG AFN NFG CNG GLP SQA FEY IKF NGG LDT EEA YPY TGK NGI CKF SQA NIG VKV ISS VNI TLG AEY ELK YAV ALV RPV SVA FEV VKG FKQ YKS GVY AST ECG DTP MDV NHA VLA VGY GVE NGT PYW LIK NSW GAD WGE DGY FKM EMG KNM CGV ATC ASY PIV AM,RLS LVL ILV AGL FAT ALA GPA TFA DKN PIR QVV FPD ELE NGI LQV VGQ TRS ALS FAR FAI RHR KRY DSV EEI KQR FEI FLD NLK MIR SHN RKG LSY KLG INE FTD LTW DEF RKH KLG ASQ NCS ATT KGN LKL TNV VLP ETK DWR KDG IVS PVK AQG KCG SCW TFS TTG ALE AAY AQA FGK GIS LSE QQL VDC AGA FNN FGC NGG LPS QAF EYI KFN GGL DTE EAY PYT GKN GIC KFS QAN IGV KVI SSV NIT LGA EYE LKY AVA LVR PVS VAF EVV KGF KQY KSG VYA STE CGD TPM DVN HAV LAV GYG VEN GTP YWL IKN SWG ADW GED GYF KME MGK NMC GVA TCA SYP IVA MS,vacuolar
MAR HAI FSA LCV LGL VAA ALP QFA TAA TAS DDE LMS RIR NSD FFD GQA PVD SLR PTN AGV DSK GTD DHL TTS MDK ASV ESQ LPR REP LET EPD EQE EVH FRK RGV RSD AEV TDD NIY EEH TDR KVV PRK SEG KRS FKD LLK KLA LPA VGM GAS YFA ADR LVP ELT EEQ QRG DEP LTT GQN VGT VLG FAA LAA AAA FLG MGL TRT YRH FSP RKN RSR QPA LEQ EVP ESG EDG EDA RQ,ARH AIF SAL CVL GLV AAA LPQ FAT AAT ASD DEL MSR IRN SDF FDG QAP VDS LRP TNA GVD SKG TDD HLT TSM DKA SVE SQL PRR EPL ETE PDE QEE VHF RKR GVR SDA EVT DDN IYE EHT DRK VVP RKS EGK RSF KDL LKK LAL PAV GMG ASY FAA DRL VPE LTE EQQ RGD EPL TTG QNV GTV LGF AAL AAA AAF LGM GLT RTY RHF SPR KNR SRQ PAL EQE VPE SGE DGE DAR QM,RHA IFS ALC VLG LVA AAL PQF ATA ATA SDD ELM SRI RNS DFF DGQ APV DSL RPT NAG VDS KGT DDH LTT SMD KAS VES QLP RRE PLE TEP DEQ EEV HFR KRG VRS DAE VTD DNI YEE HTD RKV VPR KSE GKR SFK DLL KKL ALP AVG MGA SYF AAD RLV PEL TEE QQR GDE PLT TGQ NVG TVL GFA ALA AAA AFL GMG LTR TYR HFS PRK NRS RQP ALE QEV PES GED GED ARQ MA,vacuolar
MAN FSE SKS MMA VFF MFF LLL LSS SSS SSS SSP ILK KIF IES PSY APN AFT FDS TDK GFY TSV QDG RVI KYE GPN SGF TDF AYA SPF WNK AFC ENS TDP EKR PLC GRT YDI SYD YKN SQM YIV DGH YHL CVV GKE GGY ATQ LAT SVQ GVP FKW LYA VTV DQR TGI VYF TDV SSI HDD SPE GVE EIM NTS DRT GRL MKY DPS TKE TTL LLK ELH VPG GAE ISA DGS FVV VAE FLS NRI VKY WLE GPK KGS AEF LVT IPN PGN IKR NSD GHF WVS SSE ELD GGQ HGR VVS RGI KFD GFG NIL QVI PLP PPY EGE HFE QIQ EHD GLL YIG SLF HSS VGI LVY DDH DNK GNS YVS S,ANF SES KSM MAV FFM FFL LLL SSS SSS SSS SPI LKK IFI ESP SYA PNA FTF DST DKG FYT SVQ DGR VIK YEG PNS GFT DFA YAS PFW NKA FCE NST DPE KRP LCG RTY DIS YDY KNS QMY IVD GHY HLC VVG KEG GYA TQL ATS VQG VPF KWL YAV TVD QRT GIV YFT DVS SIH DDS PEG VEE IMN TSD RTG RLM KYD PST KET TLL LKE LHV PGG AEI SAD GSF VVV AEF LSN RIV KYW LEG PKK GSA EFL VTI PNP GNI KRN SDG HFW VSS SEE LDG GQH GRV VSR GIK FDG FGN ILQ VIP LPP PYE GEH FEQ IQE HDG LLY IGS LFH SSV GIL VYD DHD NKG NSY VSS M,NFS ESK SMM AVF FMF FLL LLS SSS SSS SSS PIL KKI FIE SPS YAP NAF TFD STD KGF YTS VQD GRV IKY EGP NSG FTD FAY ASP FWN KAF CEN STD PEK RPL CGR TYD ISY DYK NSQ MYI VDG HYH LCV VGK EGG YAT QLA TSV QGV PFK WLY AVT VDQ RTG IVY FTD VSS IHD DSP EGV EEI MNT SDR TGR LMK YDP STK ETT LLL KEL HVP GGA EIS ADG SFV VVA EFL SNR IVK YWL EGP KKG SAE FLV TIP NPG NIK RNS DGH FWV SSS EEL DGG QHG RVV SRG IKF DGF GNI LQV IPL PPP YEG EHF EQI QEH DGL LYI GSL FHS SVG ILV YDD HDN KGN SYV SSM A,vacuolar
MKG ALL TAA MLL GSA QAG VHT MKL KKV PLA DEL ESV PID VQV QHL GQK YTG LRT ESH TQA MFK ATD AQV SGN HPV PIT NFM NAQ YFS EIT IGT PPQ TFK VVL DTG SSN LWV PSS QCG SIA CYL HNK YES SES STY KKN GTS FKI EYG SGS LSG FVS QDR MTI GDI TIN DQL FAE ATS EPG LAF AFG RFD GIL GLG YDR LAV PGI TPP FYK MVE QKL VDE PVF SFY LAD QDG ESE VVF GGV NKD RYT GKI TTI PLR RKA YWE VDF DAI GYG KDF AEL EGH GVI LDT GTS LIA LPS QLA EML NAQ IGA KKS WNG QFT IDC GKK SSL EDV TFT LAG YNF TLG PED YIL EAS GSC LST FMG MDM PAP VGP LAI LGD AFL RKY YSI YDL GAD TVG IAT AKR ,KGA LLT AAM LLG SAQ AGV HTM KLK KVP LAD ELE SVP IDV QVQ HLG QKY TGL RTE SHT QAM FKA TDA QVS GNH PVP ITN FMN AQY FSE ITI GTP PQT FKV VLD TGS SNL WVP SSQ CGS IAC YLH NKY ESS ESS TYK KNG TSF KIE YGS GSL SGF VSQ DRM TIG DIT IND QLF AEA TSE PGL AFA FGR FDG ILG LGY DRL AVP GIT PPF YKM VEQ KLV DEP VFS FYL ADQ DGE SEV VFG GVN KDR YTG KIT TIP LRR KAY WEV DFD AIG YGK DFA ELE GHG VIL DTG TSL IAL PSQ LAE MLN AQI GAK KSW NGQ FTI DCG KKS SLE DVT FTL AGY NFT LGP EDY ILE ASG SCL STF MGM DMP APV GPL AIL GDA FLR KYY SIY DLG ADT VGI ATA KRM ,GAL LTA AML LGS AQA GVH TMK LKK VPL ADE LES VPI DVQ VQH LGQ KYT GLR TES HTQ AMF KAT DAQ VSG NHP VPI TNF MNA QYF SEI TIG TPP QTF KVV LDT GSS NLW VPS SQC GSI ACY LHN KYE SSE SST YKK NGT SFK IEY GSG SLS GFV SQD RMT IGD ITI NDQ LFA EAT SEP GLA FAF GRF DGI LGL GYD RLA VPG ITP PFY KMV EQK LVD EPV FSF YLA DQD GES EVV FGG VNK DRY TGK ITT IPL RRK AYW EVD FDA IGY GKD FAE LEG HGV ILD TGT SLI ALP SQL AEM LNA QIG AKK SWN GQF TID CGK KSS LED VTF TLA GYN FTL GPE DYI LEA SGS CLS TFM GMD MPA PVG PLA ILG DAF LRK YYS IYD LGA DTV GIA TAK RMK ,vacuolar
EFF HGW YME PLT KGR YPD IMR QIV GTR LPN FTE DEA ELV AGS YDF LGL NYY VTQ YAK PKP NPY PSE KHT AMD DAG VDL TFK NSR GEY PGP VFA EDA NSY YYP KGI YYV MDY FKT KYG NPL IYI TEN GIS TPG SES RCE RIA DYK RIN YHC SHL CFL SKV IKE KGV NVR GYF AWA LGD NYE FGK GFT VRF GLS YVN WDD LND RNL KES GKW YQR FIN GTA KNP VKQ NFL RSS LSS QNQ KKR LAC ,FFH GWY MEP LTK GRY PDI MRQ IVG TRL PNF TED EAE LVA GSY DFL GLN YYV TQY AKP KPN PYP SEK HTA MDD AGV DLT FKN SRG EYP GPV FAE DAN SYY YPK GIY YVM DYF KTK YGN PLI YIT ENG IST PGS ESR CER IAD YKR INY HCS HLC FLS KVI KEK GVN VRG YFA WAL GDN YEF GKG FTV RFG LSY VNW DDL NDR NLK ESG KWY QRF ING TAK NPV KQN FLR SSL SSQ NQK KRL ACE ,FHG WYM EPL TKG RYP DIM RQI VGT RLP NFT EDE AEL VAG SYD FLG LNY YVT QYA KPK PNP YPS EKH TAM DDA GVD LTF KNS RGE YPG PVF AED ANS YYY PKG IYY VMD YFK TKY GNP LIY ITE NGI STP GSE SRC ERI ADY KRI NYH CSH LCF LSK VIK EKG VNV RGY FAW ALG DNY EFG KGF TVR FGL SYV NWD DLN DRN LKE SGK WYQ RFI NGT AKN PVK QNF LRS SLS SQN QKK RLA CEF ,vacuolar
MFA VKH CLL VVA VGA LVN VSV RAA EFS GVV NQG PVD VPF SGK PLD ERA VGG KGE HTP PLP DER QQE PEE PVS QRA SRV AEQ LFR KFL KFA ENV GHH SEK AFK KAK VVA EKG FTA AKT HTV RGF KVA KEA AGR GMV TVG KKL ANV ESD RST TTT QAP DSP NGL AET EVP VEP QQR AAH VPV PDF SQ,FAV KHC LLV VAV GAL VNV SVR AAE FSG VVN QGP VDV PFS GKP LDE RAV GGK GEH TPP LPD ERQ QEP EEP VSQ RAS RVA EQL FRK FLK FAE NVG HHS EKA FKK AKV VAE KGF TAA KTH TVR GFK VAK EAA GRG MVT VGK KLA NVE SDR STT TTQ APD SPN GLA ETE VPV EPQ QRA AHV PVP DFS QM,AVK HCL LVV AVG ALV NVS VRA AEF SGV VNQ GPV DVP FSG KPL DER AVG GKG EHT PPL PDE RQQ EPE EPV SQR ASR VAE QLF RKF LKF AEN VGH HSE KAF KKA KVV AEK GFT AAK THT VRG FKV AKE AAG RGM VTV GKK LAN VES DRS TTT TQA PDS PNG LAE TEV PVE PQQ RAA HVP VPD FSQ MF,vacuolar
MKA LTL ALF LAL SLY LLP NPA HSR FNP IRL PTT HEP ASS ETP VLD ING DEV RAG GNY YMV YAI LGA CGG GLR LAH LDL MNN CAS DVI VSP NDL DNG DLI TIT PAT VDP EAT VVM TST YQT FRF NIA TNK LCV NNV NWG IQY DSA SGQ SLL KAG EFV SDN SNQ FKI EVV DAN LNF YKL TYC LFG SDK CYN VGR FKD PML RTT RLA LSY YPF FFV IKP TVV ,KAL TLA LFL ALS LYL LPN PAH SRF NPI RLP TTH EPA SSE TPV LDI NGD EVR AGG NYY MVY AIL GAC GGG LRL AHL DLM NNC ASD VIV SPN DLD NGD LIT ITP ATV DPE ATV VMT STY QTF RFN IAT NKL CVN NVN WGI QYD SAS GQS LLK AGE FVS DNS NQF KIE VVD ANL NFY KLT YCL FGS DKC YNV GRF KDP MLR TTR LAL SYY PFF FVI KPT VVM ,ALT LAL FLA LSL YLL PNP AHS RFN PIR LPT THE PAS SET PVL DIN GDE VRA GGN YYM VYA ILG ACG GGL RLA HLD LMN NCA SDV IVS PND LDN GDL ITI TPA TVD PEA TVV MTS TYQ TFR FNI ATN KLC VNN VNW GIQ YDS ASG QSL LKA GEF VSD NSN QFK IEV VDA NLN FYK LTY CLF GSD KCY NVG RFK DPM LRT TRL ALS YYP FFF VIK PTV VMK ,vacuolar
MIP AVA DPT TLD GGG ARR PLL PET DPR GRA AAG AEQ KRP PAT PTV LTA VVS AVL LLV LVA VTV LAS QHV DGQ AGG VPA GED AVV VEV AAS RGV AEG VSE KST APL LGS GAL QDF SWT NAM LAW QRT AFH FQP PKN WMN DPN GPL YHK GWY HLF YQW NPD SAV WGN ITW GHA VSR DLL HWL HLP LAM VPD HPY DAN GVW SGS ATR LPD GRI VML YTG STA ESS AQV QNL AEP ADA SDP LLR EWV KSD ANP VLV PPP GIG PTD FRD PTT ACR TPA GND TAW RVA IGS KDR DHA GLA LVY RTE DFV RYD PAP ALM HAV PGT GMW ECV DFY PVA AGS GAA AGS GDG LET SAA PGP GVK HVL KAS LDD DKH DYY AIG TYD PAT DTW TPD SAE DDV GIG LRY DYG KYY ASK TFY DPV LRR RVL WGW VGE TDS ERA DIL KGW ASV QSI PRT VLL DTK TGS NLL QWP VVE VEN LRM SGK SFD GVA LDR GSV VPL DVG KAT QLD IEA VFE VDA SDA AGV TEA DVT FNC STS AGA AGR GLL GPF GLL VLA DDD LSE QTA VYF YLL KGT DGS LQT FFC QDE LRA SKA NDL VKR VYG SLV PVL DGE NLS VRI LVD HSI VES FAQ GGR TCI TSR VYP TRA IYD SAR VFL FNN ATH AHV KAK SVK IWQ LNS AYI RPY PAT TTS L,IPA VAD PTT LDG GGA RRP LLP ETD PRG RAA AGA EQK RPP ATP TVL TAV VSA VLL LVL VAV TVL ASQ HVD GQA GGV PAG EDA VVV EVA ASR GVA EGV SEK STA PLL GSG ALQ DFS WTN AML AWQ RTA FHF QPP KNW MND PNG PLY HKG WYH LFY QWN PDS AVW GNI TWG HAV SRD LLH WLH LPL AMV PDH PYD ANG VWS GSA TRL PDG RIV MLY TGS TAE SSA QVQ NLA EPA DAS DPL LRE WVK SDA NPV LVP PPG IGP TDF RDP TTA CRT PAG NDT AWR VAI GSK DRD HAG LAL VYR TED FVR YDP APA LMH AVP GTG MWE CVD FYP VAA GSG AAA GSG DGL ETS AAP GPG VKH VLK ASL DDD KHD YYA IGT YDP ATD TWT PDS AED DVG IGL RYD YGK YYA SKT FYD PVL RRR VLW GWV GET DSE RAD ILK GWA SVQ SIP RTV LLD TKT GSN LLQ WPV VEV ENL RMS GKS FDG VAL DRG SVV PLD VGK ATQ LDI EAV FEV DAS DAA GVT EAD VTF NCS TSA GAA GRG LLG PFG LLV LAD DDL SEQ TAV YFY LLK GTD GSL QTF FCQ DEL RAS KAN DLV KRV YGS LVP VLD GEN LSV RIL VDH SIV ESF AQG GRT CIT SRV YPT RAI YDS ARV FLF NNA THA HVK AKS VKI WQL NSA YIR PYP ATT TSL M,PAV ADP TTL DGG GAR RPL LPE TDP RGR AAA GAE QKR PPA TPT VLT AVV SAV LLL VLV AVT VLA SQH VDG QAG GVP AGE DAV VVE VAA SRG VAE GVS EKS TAP LLG SGA LQD FSW TNA MLA WQR TAF HFQ PPK NWM NDP NGP LYH KGW YHL FYQ WNP DSA VWG NIT WGH AVS RDL LHW LHL PLA MVP DHP YDA NGV WSG SAT RLP DGR IVM LYT GST AES SAQ VQN LAE PAD ASD PLL REW VKS DAN PVL VPP PGI GPT DFR DPT TAC RTP AGN DTA WRV AIG SKD RDH AGL ALV YRT EDF VRY DPA PAL MHA VPG TGM WEC VDF YPV AAG SGA AAG SGD GLE TSA APG PGV KHV LKA SLD DDK HDY YAI GTY DPA TDT WTP DSA EDD VGI GLR YDY GKY YAS KTF YDP VLR RRV LWG WVG ETD SER ADI LKG WAS VQS IPR TVL LDT KTG SNL LQW PVV EVE NLR MSG KSF DGV ALD RGS VVP LDV GKA TQL DIE AVF EVD ASD AAG VTE ADV TFN CST SAG AAG RGL LGP FGL LVL ADD DLS EQT AVY FYL LKG TDG SLQ TFF CQD ELR ASK AND LVK RVY GSL VPV LDG ENL SVR ILV DHS IVE SFA QGG RTC ITS RVY PTR AIY DSA RVF LFN NAT HAH VKA KSV KIW QLN SAY IRP YPA TTT SLM I,vacuolar
MAK LSD SQT MAL FTV FLL FLS SSL ALS SPI LKE ILI EAP SYA PNS FTF DST NKG FYT SVQ DGR VIK YEG PNS GFV DFA YAS PYW NKA FCE NST DAE KRP LCG RTY DIS YNL QNN QLY IVD CYY HLS VVG SEG GHA TQL ATS VDG VPF KWL YAV TVD QRT GIV YFT DVS TLY DDR GVQ QIM DTS DKT GRL IKY DPS TKE TTL LLK ELH VPG GAE VSA DSS FVL VAE FLS HQI VKY WLE GPK KGT AEV LVK IPN PGN IKR NAD GHF WVS SSE ELD GNM HGR VDP KGI KFD EFG NIL EVI PLP PPF AGE HFE QIQ EHD GLL YIG TLF HGS VGI LVY DKK GNS FVS SH,AKL SDS QTM ALF TVF LLF LSS SLA LSS PIL KEI LIE APS YAP NSF TFD STN KGF YTS VQD GRV IKY EGP NSG FVD FAY ASP YWN KAF CEN STD AEK RPL CGR TYD ISY NLQ NNQ LYI VDC YYH LSV VGS EGG HAT QLA TSV DGV PFK WLY AVT VDQ RTG IVY FTD VST LYD DRG VQQ IMD TSD KTG RLI KYD PST KET TLL LKE LHV PGG AEV SAD SSF VLV AEF LSH QIV KYW LEG PKK GTA EVL VKI PNP GNI KRN ADG HFW VSS SEE LDG NMH GRV DPK GIK FDE FGN ILE VIP LPP PFA GEH FEQ IQE HDG LLY IGT LFH GSV GIL VYD KKG NSF VSS HM,KLS DSQ TMA LFT VFL LFL SSS LAL SSP ILK EIL IEA PSY APN SFT FDS TNK GFY TSV QDG RVI KYE GPN SGF VDF AYA SPY WNK AFC ENS TDA EKR PLC GRT YDI SYN LQN NQL YIV DCY YHL SVV GSE GGH ATQ LAT SVD GVP FKW LYA VTV DQR TGI VYF TDV STL YDD RGV QQI MDT SDK TGR LIK YDP STK ETT LLL KEL HVP GGA EVS ADS SFV LVA EFL SHQ IVK YWL EGP KKG TAE VLV KIP NPG NIK RNA DGH FWV SSS EEL DGN MHG RVD PKG IKF DEF GNI LEV IPL PPP FAG EHF EQI QEH DGL LYI GTL FHG SVG ILV YDK KGN SFV SSH MA,vacuolar
MAH GGI HLR QKR NFC PVT VST VAV VFV VFM GVL VNS LGG VRV AAD SGG VKQ TPS ETG SSG GQQ EAV GTT EDY VNS SAM GGG QGD SLA EDD TTS EAA EGD VDP FPV LAN EGK SEA RGP SLE ERI EEQ GTR RRY SSV QEP QAK VPC KRT QKR HRL IGA VVL AVS VAM LTA FFL RRT GRR SPQ EPS GDG GGN DAG NNA GNG GNE GRG YGG RGE GGA EDD RRP LHP ERV NVF DY,AHG GIH LRQ KRN FCP VTV STV AVV FVV FMG VLV NSL GGV RVA ADS GGV KQT PSE TGS SGG QQE AVG TTE DYV NSS AMG GGQ GDS LAE DDT TSE AAE GDV DPF PVL ANE GKS EAR GPS LEE RIE EQG TRR RYS SVQ EPQ AKV PCK RTQ KRH RLI GAV VLA VSV AML TAF FLR RTG RRS PQE PSG DGG GND AGN NAG NGG NEG RGY GGR GEG GAE DDR RPL HPE RVN VFD YM,HGG IHL RQK RNF CPV TVS TVA VVF VVF MGV LVN SLG GVR VAA DSG GVK QTP SET GSS GGQ QEA VGT TED YVN SSA MGG GQG DSL AED DTT SEA AEG DVD PFP VLA NEG KSE ARG PSL EER IEE QGT RRR YSS VQE PQA KVP CKR TQK RHR LIG AVV LAV SVA MLT AFF LRR TGR RSP QEP SGD GGG NDA GNN AGN GGN EGR GYG GRG EGG AED DRR PLH PER VNV FDY MA,vacuolar
